,GeoName,2018
0,"Los Angeles, CA",710893266
1,"New York, NY",600244287
2,"Cook, IL",362063569
3,"Harris, TX",361353488
4,"Santa Clara, CA",316525538
5,"King, WA",277122158
6,"Dallas, TX",241375801
7,"Orange, CA",230145536
8,"Maricopa, AZ",220789933
9,"San Diego, CA",219361505
10,"San Francisco, CA",162541244
11,"Middlesex, MA",157384459
12,"Fulton, GA",152383941
13,"Miami-Dade, FL",145882828
14,"Alameda, CA",130701879
15,"District of Columbia, DC",123981627
16,"Hennepin, MN",122552072
17,"Suffolk, MA",112691074
18,"Philadelphia, PA",110734916
19,"Tarrant, TX",108786197
20,"Clark, NV",107622947
21,"San Mateo, CA",104986153
22,"Fairfax, Fairfax City + Falls Church, VA*",104001303
23,"Travis, TX",102486231
24,"Oakland, MI",100906866
25,"Mecklenburg, NC",97637010
26,"Bexar, TX",97527759
27,"Broward, FL",96874849
28,"Queens, NY",93310007
29,"Kings, NY",91559456
30,"Cuyahoga, OH",88717686
31,"Wayne, MI",88005730
32,"Orange, FL",87741273
33,"Allegheny, PA",86799511
34,"Franklin, OH",86497107
35,"Montgomery, MD",86116398
