,Year,% Share of GDP by Sector,Total Employment,log_emp,log_gdp
1,2001,114603677.0,220117.0,12.301914502151146,18.556990447245017
2,2002,107855557.0,188878.0,12.148856582969746,18.496303454738634
3,2003,112424235.0,181819.0,12.110766965715724,18.537790086061538
4,2004,116858392.0,183877.0,12.122022334799038,18.57647343494113
5,2005,125176381.0,185366.0,12.130087528025625,18.64523434867385
6,2006,133968424.0,194656.0,12.178989177120432,18.713114688356253
7,2007,145171511.0,208663.0,12.248475789374755,18.793426435870046
8,2008,150755331.0,213211.0,12.27003756468958,18.831168756130385
9,2009,148428606.0,203727.0,12.224536141295712,18.815614632924426
10,2010,160765609.0,207035.0,12.240643140080339,18.895458017456644
11,2011,174227088.0,217902.0,12.291800699412846,18.975870109719843
12,2012,182767392.0,219380.0,12.298560664965326,19.023724820328603
13,2013,203463974.0,242290.0,12.397890634801474,19.13099951523389
14,2014,221870928.0,257345.0,12.458172876098688,19.217606365349486
15,2015,246541540.0,277940.0,12.535160542040574,19.323041056519017
16,2016,263341449.0,283452.0,12.554798075645708,19.388962033269678
17,2017,283486573.0,298230.0,12.6056202798743,19.46267531845846
18,2018,315091085.0,312865.0,12.653527066577267,19.56837231372174
