,Year,% Share of GDP by Sector,Total Employment
1,2001,56266650.0,146076.0
2,2002,58443462.0,134118.0
3,2003,60757582.0,128785.0
4,2004,63238128.0,126959.0
5,2005,66587433.0,123633.0
6,2006,66673188.0,122626.0
7,2007,68490187.0,119306.0
8,2008,70073220.0,115498.0
9,2009,65929155.0,101262.0
10,2010,66364468.0,98559.0
11,2011,68927640.0,100894.0
12,2012,72013891.0,102659.0
13,2013,74198677.0,103945.0
14,2014,78476771.0,103406.0
15,2015,81977358.0,103275.0
16,2016,83499107.0,101734.0
17,2017,86028590.0,101185.0
18,2018,90006781.0,104676.0
