,Year,Total Employment,Secondary Employment Total,% of total
2,1969,71226200,25016800,0.3512303057021152
3,1970,71235600,24086200,0.3381202657098417
4,1971,71402400,23312800,0.32649882917100825
5,1972,74028200,24078700,0.3252638859245531
6,1973,77801500,25487500,0.3275965116353798
7,1974,78991800,25444000,0.3221093835056297
8,1975,77430600,23318900,0.3011587150299752
9,1976,80087200,24142100,0.30144767203747913
10,1977,83502200,25179100,0.30153816306636233
11,1978,87910600,26555100,0.3020693750241723
12,1979,90968100,27358200,0.30074498642930875
13,1980,91410200,26384300,0.28863627910233214
14,1981,92571000,26171500,0.2827181298678852
15,1982,91942300,24591200,0.2674633982399831
16,1983,93135700,24359600,0.26154954544820086
17,1984,97973100,25918300,0.264545063900193
18,1985,101073700,26133100,0.25855489608078064
19,1986,103266300,26144100,0.2531716542570035
20,1987,106258400,26367600,0.24814602892571316
21,1988,109899900,26932400,0.24506300733667638
22,1989,112211800,27140000,0.24186404638371364
23,1990,113945900,26812000,0.23530464896060324
24,1991,113249800,25725700,0.22715890005986766
25,1992,113658100,25435500,0.22378959352655023
26,1993,116101400,25623700,0.22070104236469154
27,1994,119458600,26290800,0.22008294086821711
28,1995,123109800,26788800,0.21760087336670192
29,1996,126220200,27078600,0.214534599057837
30,1997,129551200,27626700,0.21324927904951865
31,1998,133210200,28119100,0.21108818994341275
32,1999,135940300,28267100,0.2079376020208871
33,2000,139316800,28426000,0.20403856534172476
34,2001,139308200,26738300,0.19193629664298298
35,2002,138616100,25414500,0.18334450327198645
36,2003,139408500,24875300,0.17843460047271148
37,2004,142403700,25128500,0.17645960041768577
38,2005,145860400,25690000,0.17612731077112087
39,2006,149302600,26089100,0.17473975670885838
40,2007,152648700,25860800,0.1694138240286357
41,2008,151995900,24741100,0.16277478537250017
42,2009,146330700,21903100,0.14968219245858866
43,2010,145593700,20863600,0.14330015653149827
44,2011,149162700,21121500,0.1416004135082028
45,2012,152252700,21530000,0.14140964331010222
46,2013,155625100,21999000,0.14135894531152107
47,2014,159535800,22471900,0.14085803938677086
48,2015,163523800,22921500,0.14017225627095262
49,2016,166428900,23454000,0.14092504366729577
50,2017,169778300,23792200,0.1401368726156405
51,2018,173599000,24474600,0.14098353101112335
