,Year,48360,105264,105271,Tertiary Employment Total
2,1969,721547,0,0,2205492
3,1970,728888,0,0,2250360
4,1971,737673,0,0,2281461
5,1972,744559,0,0,2345988
6,1973,771981,0,0,2427865
7,1974,788837,0,0,2483970
8,1975,778967,0,0,2471398
9,1976,799265,0,0,2524013
10,1977,826786,0,0,2615107
11,1978,850151,0,0,2711007
12,1979,861875,0,0,2780963
13,1980,858212,0,0,2797463
14,1981,839824,0,0,2793422
15,1982,832574,0,0,2785867
16,1983,833293,0,0,2804296
17,1984,867872,0,0,2920704
18,1985,903692,0,0,3034009
19,1986,932469,0,0,3139458
20,1987,958073,0,0,3258893
21,1988,987275,0,0,3366788
22,1989,1013222,0,0,3452343
23,1990,1021347,0,0,3507479
24,1991,1018443,0,0,3537723
25,1992,1024242,0,0,3556996
26,1993,1049308,0,0,3641477
27,1994,1096132,0,0,3776876
28,1995,1137879,0,0,3897845
29,1996,1163475,0,0,3990668
30,1997,1171252,0,0,4078103
31,1998,1165437,0,0,4168708
32,1999,1180805,0,0,4239075
33,2000,1194833,0,0,4332325
34,2001,778247,24866,383672,3553439
35,2002,761781,22443,380588,3569179
36,2003,755244,21969,379030,3589945
37,2004,745250,21096,395436,3627895
38,2005,739595,21070,398270,3678416
39,2006,730441,21505,406037,3719758
40,2007,729040,21981,411044,3767737
41,2008,706927,22871,404785,3754123
42,2009,678219,22168,371680,3682726
43,2010,663124,21029,382540,3668710
44,2011,673543,20060,393515,3748958
45,2012,675527,19952,402713,3799566
46,2013,680939,19678,412296,3850882
47,2014,684625,19078,422037,3911329
48,2015,690304,20321,418027,3983708
49,2016,691426,21019,420975,4023916
50,2017,695631,20097,420387,4086975
51,2018,683889,20075,426736,4136513
