,Year,Total Employment,Lower Skill Employment Total,% of total
2,2001,139308200,36568100,0.26249782855567727
3,2002,138616100,37523100,0.2706979925131352
4,2003,139408500,38496200,0.276139546727782
5,2004,142403700,39621300,0.2782322369432817
6,2005,145860400,40988000,0.28100841626651235
7,2006,149302600,42296800,0.2832958032880874
8,2007,152648700,43942900,0.28786946760765075
9,2008,151995900,44938600,0.29565665915988526
10,2009,146330700,45445300,0.3105657254424396
11,2010,145593700,45874000,0.31508231468806686
12,2011,149162700,47160500,0.3161681841371871
13,2012,152252700,48018300,0.3153855399608677
14,2013,155625100,49019200,0.3149826088465164
15,2014,159535800,49907900,0.31283197877843094
16,2015,163523800,51121500,0.31262421739220836
17,2016,166428900,52481400,0.3153382615639471
18,2017,169778300,53458000,0.3148694503361148
19,2018,173599000,54645300,0.3147788869751554
