,GeoName,% Jobs in Knowledge-based Services,Real Per Capita Income
0,Alabama,25.82%,45397.0
1,Alaska,29.04%,52816.0
2,Arizona,32.84%,42742.0
3,Arkansas,29.06%,47158.0
4,California,30.77%,51274.0
5,Colorado,31.09%,53315.0
6,Connecticut,39.06%,66978.0
7,Delaware,39.00%,49436.0
8,District of Columbia,32.44%,65697.0
9,Florida,32.33%,46346.0
10,Georgia,27.27%,46471.0
11,Hawaii,29.01%,43595.0
12,Idaho,29.41%,44193.0
13,Illinois,31.42%,53893.0
14,Indiana,27.68%,48997.0
15,Iowa,31.02%,52288.0
16,Kansas,29.72%,53125.0
17,Kentucky,27.61%,44959.0
18,Louisiana,29.40%,48178.0
19,Maine,33.28%,45381.0
20,Maryland,32.86%,54360.0
21,Massachusetts,37.70%,60866.0
22,Michigan,29.58%,48742.0
23,Minnesota,35.16%,54857.0
24,Mississippi,25.68%,40927.0
25,Missouri,32.51%,49979.0
26,Montana,31.19%,47407.0
27,Nebraska,32.06%,55358.0
28,Nevada,27.18%,46970.0
29,New Hampshire,31.77%,53832.0
30,New Jersey,34.74%,55174.0
31,New Mexico,29.85%,42491.0
32,New York,40.05%,54819.0
33,North Carolina,29.18%,46650.0
34,North Dakota,30.48%,57008.0
35,Ohio,32.15%,51249.0
36,Oklahoma,26.73%,48633.0
37,Oregon,31.23%,46819.0
38,Pennsylvania,35.84%,53566.0
39,Rhode Island,38.78%,51261.0
40,South Carolina,25.88%,44531.0
41,South Dakota,33.82%,55377.0
42,Tennessee,28.08%,48441.0
43,Texas,28.31%,48443.0
44,Utah,31.86%,44618.0
45,Vermont,33.39%,49001.0
46,Virginia,29.21%,52704.0
47,Washington,29.18%,53502.0
48,West Virginia,29.63%,43268.0
49,Wisconsin,30.29%,52182.0
50,Wyoming,27.56%,60458.0
