,GeoName,% Jobs in Knowledge-based Services
43,"Fairfax, Fairfax City + Falls Church, VA*",30.02%
10,"Santa Clara, CA",23.21%
27,"New York, NY",22.01%
18,"Middlesex, MA",20.83%
17,"Montgomery, MD",19.80%
15,"Fulton, GA",19.26%
41,"Travis, TX",19.00%
44,"King, WA",18.95%
31,"Wake, NC",16.96%
19,"Oakland, MI",16.56%
37,"Collin, TX",15.74%
2,"Alameda, CA",14.96%
21,"Hennepin, MN",14.36%
9,"San Diego, CA",13.89%
4,"Los Angeles, CA",13.04%
30,"Mecklenburg, NC",12.83%
38,"Dallas, TX",12.70%
42,"Salt Lake, UT",12.28%
16,"Cook, IL",12.25%
34,"Allegheny, PA",12.19%
3,"Contra Costa, CA",11.73%
5,"Orange, CA",11.66%
23,"Hillsborough, NH",11.55%
35,"Philadelphia, PA",10.70%
14,"Palm Beach, FL",10.65%
11,"Broward, FL",10.61%
39,"Harris, TX",10.59%
33,"Franklin, OH",10.54%
7,"Sacramento, CA",10.29%
13,"Orange, FL",10.24%
26,"Nassau, NY",9.95%
32,"Cuyahoga, OH",9.88%
0,"Maricopa, AZ",9.66%
29,"Suffolk, NY",9.62%
20,"Wayne, MI",9.58%
12,"Miami-Dade, FL",9.49%
25,"Kings, NY",9.31%
1,"Pima, AZ",9.31%
36,"Bexar, TX",9.20%
22,"Clark, NV",7.33%
40,"Tarrant, TX",7.29%
6,"Riverside, CA",6.40%
28,"Queens, NY",6.09%
8,"San Bernardino, CA",5.53%
24,"Bronx, NY",3.81%
