,observation_date,LNU04032241
0,2000-01-01,7.5
1,2000-02-01,7.5
2,2000-03-01,7.4
3,2000-04-01,6.1
4,2000-05-01,6.2
5,2000-06-01,7.3
6,2000-07-01,6.8
7,2000-08-01,6.0
8,2000-09-01,5.9
9,2000-10-01,6.5
10,2000-11-01,6.5
11,2000-12-01,5.9
12,2001-01-01,7.7
13,2001-02-01,7.5
14,2001-03-01,7.4
15,2001-04-01,6.8
16,2001-05-01,6.7
17,2001-06-01,7.0
18,2001-07-01,6.8
19,2001-08-01,6.8
20,2001-09-01,8.0
21,2001-10-01,8.3
22,2001-11-01,8.5
23,2001-12-01,8.5
24,2002-01-01,8.6
25,2002-02-01,8.7
26,2002-03-01,8.5
27,2002-04-01,8.4
28,2002-05-01,8.6
29,2002-06-01,8.5
30,2002-07-01,8.2
31,2002-08-01,7.5
32,2002-09-01,7.9
33,2002-10-01,8.5
34,2002-11-01,8.9
35,2002-12-01,8.2
36,2003-01-01,9.3
37,2003-02-01,10.0
38,2003-03-01,8.9
39,2003-04-01,8.5
40,2003-05-01,7.9
41,2003-06-01,8.6
42,2003-07-01,8.4
43,2003-08-01,9.0
44,2003-09-01,8.8
45,2003-10-01,8.3
46,2003-11-01,9.0
47,2003-12-01,8.2
48,2004-01-01,10.0
49,2004-02-01,8.9
50,2004-03-01,9.0
51,2004-04-01,7.9
52,2004-05-01,8.1
53,2004-06-01,9.6
54,2004-07-01,7.8
55,2004-08-01,8.4
56,2004-09-01,7.5
57,2004-10-01,7.3
58,2004-11-01,7.9
59,2004-12-01,7.4
60,2005-01-01,8.7
61,2005-02-01,8.8
62,2005-03-01,8.3
63,2005-04-01,7.7
64,2005-05-01,7.7
65,2005-06-01,7.6
66,2005-07-01,7.4
67,2005-08-01,6.8
68,2005-09-01,7.3
69,2005-10-01,6.8
70,2005-11-01,8.1
71,2005-12-01,7.9
72,2006-01-01,8.1
73,2006-02-01,9.1
74,2006-03-01,8.0
75,2006-04-01,7.6
76,2006-05-01,7.0
77,2006-06-01,7.4
78,2006-07-01,6.8
79,2006-08-01,6.9
80,2006-09-01,6.9
81,2006-10-01,6.6
82,2006-11-01,7.1
83,2006-12-01,5.9
84,2007-01-01,7.8
85,2007-02-01,7.4
86,2007-03-01,7.0
87,2007-04-01,6.9
88,2007-05-01,6.8
89,2007-06-01,7.2
90,2007-07-01,7.3
91,2007-08-01,7.1
92,2007-09-01,7.4
93,2007-10-01,7.5
94,2007-11-01,8.1
95,2007-12-01,7.9
96,2008-01-01,9.4
97,2008-02-01,8.5
98,2008-03-01,7.6
99,2008-04-01,6.9
100,2008-05-01,8.4
101,2008-06-01,8.9
102,2008-07-01,8.8
103,2008-08-01,8.7
104,2008-09-01,8.2
105,2008-10-01,8.9
106,2008-11-01,9.9
107,2008-12-01,9.5
108,2009-01-01,11.5
109,2009-02-01,11.4
110,2009-03-01,11.6
111,2009-04-01,10.2
112,2009-05-01,11.9
113,2009-06-01,12.1
114,2009-07-01,11.2
115,2009-08-01,12.0
116,2009-09-01,11.4
117,2009-10-01,12.4
118,2009-11-01,11.9
119,2009-12-01,12.6
120,2010-01-01,14.2
121,2010-02-01,12.7
122,2010-03-01,12.5
123,2010-04-01,12.8
124,2010-05-01,12.4
125,2010-06-01,12.3
126,2010-07-01,11.4
127,2010-08-01,10.8
128,2010-09-01,11.4
129,2010-10-01,11.1
130,2010-11-01,12.4
131,2010-12-01,12.0
132,2011-01-01,13.8
133,2011-02-01,13.8
134,2011-03-01,13.2
135,2011-04-01,11.7
136,2011-05-01,10.6
137,2011-06-01,10.9
138,2011-07-01,10.9
139,2011-08-01,10.5
140,2011-09-01,11.3
141,2011-10-01,10.8
142,2011-11-01,11.1
143,2011-12-01,10.8
144,2012-01-01,12.6
145,2012-02-01,11.6
146,2012-03-01,10.9
147,2012-04-01,9.8
148,2012-05-01,9.7
149,2012-06-01,9.8
150,2012-07-01,9.7
151,2012-08-01,10.1
152,2012-09-01,9.7
153,2012-10-01,9.9
154,2012-11-01,10.3
155,2012-12-01,10.8
156,2013-01-01,12.0
157,2013-02-01,11.2
158,2013-03-01,10.8
159,2013-04-01,9.6
160,2013-05-01,10.4
161,2013-06-01,10.7
162,2013-07-01,10.0
163,2013-08-01,9.3
164,2013-09-01,9.0
165,2013-10-01,8.8
166,2013-11-01,9.0
167,2013-12-01,9.0
168,2014-01-01,9.5
169,2014-02-01,10.3
170,2014-03-01,10.2
171,2014-04-01,8.0
172,2014-05-01,8.1
173,2014-06-01,8.6
174,2014-07-01,8.1
175,2014-08-01,8.1
176,2014-09-01,8.3
177,2014-10-01,8.5
178,2014-11-01,8.2
179,2014-12-01,7.5
180,2015-01-01,9.4
181,2015-02-01,8.8
182,2015-03-01,8.6
183,2015-04-01,7.8
184,2015-05-01,7.9
185,2015-06-01,7.5
186,2015-07-01,7.7
187,2015-08-01,7.2
188,2015-09-01,7.5
189,2015-10-01,8.0
190,2015-11-01,7.4
191,2015-12-01,7.4
192,2016-01-01,7.7
193,2016-02-01,7.1
194,2016-03-01,7.2
195,2016-04-01,6.5
196,2016-05-01,6.6
197,2016-06-01,6.6
198,2016-07-01,6.0
199,2016-08-01,6.6
200,2016-09-01,6.5
201,2016-10-01,6.7
202,2016-11-01,7.1
203,2016-12-01,6.4
204,2017-01-01,7.9
205,2017-02-01,7.0
206,2017-03-01,6.3
207,2017-04-01,5.9
208,2017-05-01,6.3
209,2017-06-01,6.1
210,2017-07-01,4.9
211,2017-08-01,5.2
212,2017-09-01,5.0
213,2017-10-01,5.8
214,2017-11-01,6.6
215,2017-12-01,6.2
216,2018-01-01,6.8
217,2018-02-01,6.8
218,2018-03-01,5.8
219,2018-04-01,5.2
220,2018-05-01,4.9
221,2018-06-01,5.7
222,2018-07-01,5.2
223,2018-08-01,5.8
224,2018-09-01,5.4
225,2018-10-01,5.4
226,2018-11-01,5.3
