,MSA,Annualized Growth Rate TP,Annualized GDP,Unnamed: 3,Unnamed: 4,Unnamed: 5,GeoName.1,Annualized Growth Rate TP.1,Annualized GDP.1,Unnamed: 9,Unnamed: 10,GeoName.2,Annualized Growth Rate TP.2,Annualized Growth Rate GDP,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,"Abilene, TX (Metropolitan Statistical Area)",0.004475600903410593,0.020750987760342232,,0.6522312076254407,,"San Jose, CA ",0.008106209830688549,0.060328123557436886,,,"Abilene, TX (Metropolitan Statistical Area)",0.004475600903410593,0.01620286928054182,,,,
1,"Akron, OH (Metropolitan Statistical Area)",0.00056510678311672,0.00989270152001609,,,,"Austin, TX ",0.02956524890141221,0.04699538083175292,,,"Akron, OH (Metropolitan Statistical Area)",0.00056510678311672,0.009322326626888033,,,,
2,"Albany, GA (Metropolitan Statistical Area)",-0.0014763214758758414,-0.0019012949586736383,,,,"San Antonio, TX ",0.021698928972376352,0.03595185842706616,,,"Albany, GA (Metropolitan Statistical Area)",-0.0014763214758758414,-0.00042560180788708823,,51.0,384.0,0.1328125
3,"Albany-Lebanon, OR (Metropolitan Statistical Area)",0.012240471491801852,0.01623401053873086,,,,"Seattle, WA ",0.014331199964327856,0.0344957590929571,,,"Albany-Lebanon, OR (Metropolitan Statistical Area)",0.012240471491801852,0.0039452473591019555,,,,
4,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",0.0035855815014895764,0.012733516758796748,,,,"Nashville, TN ",0.01889635757821506,0.033520576807041014,,,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",0.0035855815014895764,0.009115251779146627,,,,
5,"Albuquerque, NM (Metropolitan Statistical Area) *",0.012469996641157,0.014773865535238295,,,,,,,,,"Albuquerque, NM (Metropolitan Statistical Area) *",0.012469996641157,0.0022754934978066466,,,,
6,"Alexandria, LA (Metropolitan Statistical Area)",0.0031395367814701647,0.01051471125501613,,,,,,,,,"Alexandria, LA (Metropolitan Statistical Area)",0.0031395367814701647,0.007352092309319991,,,,
7,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",0.006996047168653208,-0.003394233406143865,,,,,,,,,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",0.006996047168653208,-0.010318094697602032,,,,
8,"Altoona, PA (Metropolitan Statistical Area)",-0.0027994551500302167,0.008856778430101686,,,,,,,,,"Altoona, PA (Metropolitan Statistical Area)",-0.0027994551500302167,0.011688956289013674,,,,
9,"Amarillo, TX (Metropolitan Statistical Area)",0.008488341523243959,0.017236870889081324,,,,,,,,,"Amarillo, TX (Metropolitan Statistical Area)",0.008488341523243959,0.008674893903704906,,,,
