,GeoName,% Jobs in Lower-wage Services
12,"Clark, NV",47.05%
7,"Orange, FL",38.77%
1,"Pima, AZ",37.80%
6,"San Bernardino, CA",36.42%
5,"Sacramento, CA",36.12%
0,"Maricopa, AZ",34.61%
16,"Wake, NC",33.98%
20,"Tarrant, TX",33.78%
19,"Harris, TX",32.38%
3,"Contra Costa, CA",32.09%
4,"Los Angeles, CA",31.54%
21,"Travis, TX",31.41%
8,"Cook, IL",31.14%
17,"Franklin, OH",31.01%
9,"Montgomery, MD",30.65%
14,"Nassau, NY",29.50%
22,"Fairfax, Fairfax City + Falls Church, VA*",29.22%
15,"Queens, NY",28.93%
2,"Alameda, CA",28.63%
18,"Allegheny, PA",27.82%
11,"Hennepin, MN",26.56%
13,"Kings, NY",26.28%
10,"Middlesex, MA",24.96%
