,observation_date,ICSA
0,1967-01-01,209000
1,1967-02-01,229000
2,1967-03-01,260750
3,1967-04-01,263000
4,1967-05-01,235750
5,1967-06-01,232000
6,1967-07-01,227800
7,1967-08-01,212750
8,1967-09-01,216400
9,1967-10-01,216750
10,1967-11-01,206250
11,1967-12-01,211200
12,1968-01-01,215750
13,1968-02-01,210750
14,1968-03-01,195200
15,1968-04-01,199000
16,1968-05-01,199000
17,1968-06-01,193600
18,1968-07-01,196250
19,1968-08-01,199400
20,1968-09-01,191000
21,1968-10-01,186000
22,1968-11-01,183400
23,1968-12-01,199500
24,1969-01-01,191500
25,1969-02-01,196000
26,1969-03-01,189000
27,1969-04-01,184000
28,1969-05-01,181200
29,1969-06-01,192000
30,1969-07-01,208750
31,1969-08-01,198400
32,1969-09-01,194750
33,1969-10-01,199250
34,1969-11-01,205000
35,1969-12-01,219750
36,1970-01-01,247000
37,1970-02-01,258500
38,1970-03-01,268250
39,1970-04-01,325250
40,1970-05-01,310400
41,1970-06-01,296500
42,1970-07-01,286500
43,1970-08-01,285400
44,1970-09-01,318500
45,1970-10-01,333600
46,1970-11-01,325250
47,1970-12-01,306000
48,1971-01-01,298800
49,1971-02-01,284000
50,1971-03-01,293750
51,1971-04-01,287500
52,1971-05-01,292200
53,1971-06-01,296500
54,1971-07-01,293200
55,1971-08-01,325250
56,1971-09-01,320250
57,1971-10-01,297600
58,1971-11-01,287000
59,1971-12-01,273000
60,1972-01-01,271200
61,1972-02-01,263500
62,1972-03-01,262750
63,1972-04-01,263000
64,1972-05-01,267750
65,1972-06-01,273250
66,1972-07-01,297600
67,1972-08-01,253500
68,1972-09-01,256200
69,1972-10-01,251000
70,1972-11-01,250750
71,1972-12-01,242400
72,1973-01-01,228500
73,1973-02-01,222000
74,1973-03-01,227200
75,1973-04-01,239000
76,1973-05-01,240250
77,1973-06-01,238800
78,1973-07-01,242750
79,1973-08-01,258250
80,1973-09-01,246800
81,1973-10-01,241500
82,1973-11-01,253750
83,1973-12-01,284000
84,1974-01-01,305250
85,1974-02-01,318500
86,1974-03-01,311600
87,1974-04-01,293000
88,1974-05-01,297500
89,1974-06-01,305600
90,1974-07-01,309500
91,1974-08-01,341400
92,1974-09-01,360750
93,1974-10-01,396750
94,1974-11-01,457600
95,1974-12-01,524000
96,1975-01-01,535000
97,1975-02-01,544500
98,1975-03-01,546600
99,1975-04-01,525250
100,1975-05-01,498800
101,1975-06-01,495500
102,1975-07-01,442000
103,1975-08-01,452000
104,1975-09-01,445250
105,1975-10-01,421250
106,1975-11-01,400600
107,1975-12-01,374250
108,1976-01-01,371200
109,1976-02-01,348250
110,1976-03-01,360500
111,1976-04-01,370250
112,1976-05-01,391600
113,1976-06-01,393750
114,1976-07-01,390800
115,1976-08-01,388500
116,1976-09-01,407500
117,1976-10-01,409000
118,1976-11-01,389500
119,1976-12-01,373750
120,1977-01-01,401800
121,1977-02-01,450750
122,1977-03-01,360250
123,1977-04-01,367400
124,1977-05-01,380250
125,1977-06-01,361250
126,1977-07-01,361400
127,1977-08-01,367250
128,1977-09-01,368750
129,1977-10-01,359000
130,1977-11-01,353500
131,1977-12-01,359600
132,1978-01-01,351000
133,1978-02-01,383250
134,1978-03-01,349000
135,1978-04-01,326000
136,1978-05-01,327000
137,1978-06-01,324250
138,1978-07-01,350200
139,1978-08-01,348750
140,1978-09-01,322600
141,1978-10-01,328250
142,1978-11-01,330500
143,1978-12-01,355600
144,1979-01-01,357500
145,1979-02-01,358500
146,1979-03-01,358000
147,1979-04-01,415500
148,1979-05-01,348000
149,1979-06-01,360000
150,1979-07-01,379250
151,1979-08-01,393750
152,1979-09-01,385800
153,1979-10-01,402250
154,1979-11-01,413250
155,1979-12-01,428200
156,1980-01-01,414250
157,1980-02-01,418000
158,1980-03-01,433800
159,1980-04-01,529750
160,1980-05-01,615800
161,1980-06-01,607000
162,1980-07-01,559250
163,1980-08-01,528200
164,1980-09-01,482750
165,1980-10-01,438000
166,1980-11-01,412600
167,1980-12-01,410000
168,1981-01-01,413000
169,1981-02-01,428750
170,1981-03-01,407500
171,1981-04-01,410250
172,1981-05-01,416400
173,1981-06-01,433000
174,1981-07-01,430750
175,1981-08-01,450200
176,1981-09-01,473250
177,1981-10-01,492800
178,1981-11-01,511750
179,1981-12-01,551000
180,1982-01-01,535200
181,1982-02-01,533750
182,1982-03-01,556500
183,1982-04-01,587000
184,1982-05-01,583800
185,1982-06-01,599500
186,1982-07-01,576000
187,1982-08-01,629500
188,1982-09-01,660750
189,1982-10-01,652400
190,1982-11-01,594250
191,1982-12-01,523750
192,1983-01-01,501000
193,1983-02-01,488750
194,1983-03-01,480250
195,1983-04-01,496000
196,1983-05-01,468000
197,1983-06-01,444250
198,1983-07-01,408000
199,1983-08-01,435750
200,1983-09-01,408750
201,1983-10-01,402200
202,1983-11-01,392500
203,1983-12-01,368800
204,1984-01-01,351000
205,1984-02-01,339250
206,1984-03-01,345800
207,1984-04-01,369250
208,1984-05-01,360250
209,1984-06-01,361400
210,1984-07-01,360500
211,1984-08-01,389500
212,1984-09-01,395400
213,1984-10-01,419250
214,1984-11-01,407000
215,1984-12-01,385600
216,1985-01-01,370750
217,1985-02-01,391750
218,1985-03-01,380800
219,1985-04-01,398250
220,1985-05-01,392750
221,1985-06-01,392400
222,1985-07-01,378250
223,1985-08-01,404400
224,1985-09-01,408500
225,1985-10-01,405750
226,1985-11-01,393400
227,1985-12-01,385250
228,1986-01-01,366750
229,1986-02-01,369500
230,1986-03-01,381200
231,1986-04-01,385750
232,1986-05-01,386000
233,1986-06-01,370500
234,1986-07-01,362000
235,1986-08-01,407400
236,1986-09-01,395500
237,1986-10-01,383250
238,1986-11-01,363200
239,1986-12-01,358250
240,1987-01-01,345600
241,1987-02-01,348750
242,1987-03-01,333250
243,1987-04-01,336250
244,1987-05-01,331000
245,1987-06-01,322250
246,1987-07-01,319250
247,1987-08-01,325600
248,1987-09-01,309750
249,1987-10-01,300000
250,1987-11-01,306750
251,1987-12-01,318750
252,1988-01-01,335600
253,1988-02-01,318750
254,1988-03-01,305500
255,1988-04-01,312200
256,1988-05-01,313750
257,1988-06-01,308250
258,1988-07-01,321600
259,1988-08-01,314750
260,1988-09-01,304500
261,1988-10-01,291400
262,1988-11-01,290500
263,1988-12-01,293200
264,1989-01-01,289750
265,1989-02-01,303750
266,1989-03-01,322000
267,1989-04-01,311800
268,1989-05-01,324500
269,1989-06-01,333000
270,1989-07-01,341600
271,1989-08-01,334500
272,1989-09-01,336000
273,1989-10-01,363250
274,1989-11-01,336750
275,1989-12-01,355200
276,1990-01-01,361000
277,1990-02-01,358250
278,1990-03-01,345200
279,1990-04-01,361750
280,1990-05-01,355250
281,1990-06-01,362400
282,1990-07-01,367000
283,1990-08-01,384250
284,1990-09-01,394000
285,1990-10-01,425250
286,1990-11-01,446750
287,1990-12-01,455000
288,1991-01-01,439750
289,1991-02-01,484000
290,1991-03-01,498600
291,1991-04-01,467250
292,1991-05-01,447000
293,1991-06-01,428600
294,1991-07-01,418250
295,1991-08-01,431600
296,1991-09-01,424500
297,1991-10-01,422750
298,1991-11-01,445400
299,1991-12-01,456750
