,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
78,AUS,LIFEEXP,TOT,YR,A,1980,74.6,
79,AUS,LIFEEXP,TOT,YR,A,1981,74.9,
80,AUS,LIFEEXP,TOT,YR,A,1982,74.7,
81,AUS,LIFEEXP,TOT,YR,A,1983,75.5,
82,AUS,LIFEEXP,TOT,YR,A,1984,75.8,
83,AUS,LIFEEXP,TOT,YR,A,1985,75.6,
84,AUS,LIFEEXP,TOT,YR,A,1986,76.1,
85,AUS,LIFEEXP,TOT,YR,A,1987,76.3,
86,AUS,LIFEEXP,TOT,YR,A,1988,76.3,
87,AUS,LIFEEXP,TOT,YR,A,1989,76.5,
88,AUS,LIFEEXP,TOT,YR,A,1990,77.0,
89,AUS,LIFEEXP,TOT,YR,A,1991,77.4,
90,AUS,LIFEEXP,TOT,YR,A,1992,77.5,
91,AUS,LIFEEXP,TOT,YR,A,1993,78.0,
92,AUS,LIFEEXP,TOT,YR,A,1994,78.0,
93,AUS,LIFEEXP,TOT,YR,A,1995,77.9,
94,AUS,LIFEEXP,TOT,YR,A,1996,78.2,
95,AUS,LIFEEXP,TOT,YR,A,1997,78.5,
96,AUS,LIFEEXP,TOT,YR,A,1998,78.7,
97,AUS,LIFEEXP,TOT,YR,A,1999,79.0,
98,AUS,LIFEEXP,TOT,YR,A,2000,79.3,
99,AUS,LIFEEXP,TOT,YR,A,2001,79.7,
100,AUS,LIFEEXP,TOT,YR,A,2002,80.0,
101,AUS,LIFEEXP,TOT,YR,A,2003,80.3,
102,AUS,LIFEEXP,TOT,YR,A,2004,80.6,
103,AUS,LIFEEXP,TOT,YR,A,2005,80.9,
104,AUS,LIFEEXP,TOT,YR,A,2006,81.1,
105,AUS,LIFEEXP,TOT,YR,A,2007,81.4,
106,AUS,LIFEEXP,TOT,YR,A,2008,81.5,
107,AUS,LIFEEXP,TOT,YR,A,2009,81.6,
108,AUS,LIFEEXP,TOT,YR,A,2010,81.8,
109,AUS,LIFEEXP,TOT,YR,A,2011,82.0,
110,AUS,LIFEEXP,TOT,YR,A,2012,82.1,
111,AUS,LIFEEXP,TOT,YR,A,2013,82.2,
112,AUS,LIFEEXP,TOT,YR,A,2014,82.4,
113,AUS,LIFEEXP,TOT,YR,A,2015,82.5,
114,AUS,LIFEEXP,TOT,YR,A,2016,82.5,
115,AUS,LIFEEXP,TOT,YR,A,2017,82.6,
252,AUT,LIFEEXP,TOT,YR,A,1980,72.6,
253,AUT,LIFEEXP,TOT,YR,A,1981,72.9,
254,AUT,LIFEEXP,TOT,YR,A,1982,73.1,
255,AUT,LIFEEXP,TOT,YR,A,1983,73.1,
256,AUT,LIFEEXP,TOT,YR,A,1984,73.7,
257,AUT,LIFEEXP,TOT,YR,A,1985,73.9,
258,AUT,LIFEEXP,TOT,YR,A,1986,74.4,
259,AUT,LIFEEXP,TOT,YR,A,1987,74.9,
260,AUT,LIFEEXP,TOT,YR,A,1988,75.3,
261,AUT,LIFEEXP,TOT,YR,A,1989,75.4,
262,AUT,LIFEEXP,TOT,YR,A,1990,75.7,
263,AUT,LIFEEXP,TOT,YR,A,1991,75.7,
