,observation_date,LNS11300001
0,1948-01-01,86.7
1,1948-02-01,87.0
2,1948-03-01,86.3
3,1948-04-01,86.6
4,1948-05-01,86.1
5,1948-06-01,86.6
6,1948-07-01,86.7
7,1948-08-01,86.7
8,1948-09-01,86.3
9,1948-10-01,86.6
10,1948-11-01,86.5
11,1948-12-01,86.9
12,1949-01-01,86.5
13,1949-02-01,86.6
14,1949-03-01,86.5
15,1949-04-01,86.6
16,1949-05-01,86.6
17,1949-06-01,86.2
18,1949-07-01,86.1
19,1949-08-01,86.6
20,1949-09-01,86.6
21,1949-10-01,87.4
22,1949-11-01,86.8
23,1949-12-01,86.6
24,1950-01-01,86.2
25,1950-02-01,86.1
26,1950-03-01,85.9
27,1950-04-01,86.2
28,1950-05-01,86.3
29,1950-06-01,86.2
30,1950-07-01,86.1
31,1950-08-01,86.5
32,1950-09-01,86.5
33,1950-10-01,86.4
34,1950-11-01,86.3
35,1950-12-01,86.3
36,1951-01-01,86.0
37,1951-02-01,86.3
38,1951-03-01,86.9
39,1951-04-01,86.3
40,1951-05-01,86.6
41,1951-06-01,86.4
42,1951-07-01,86.3
43,1951-08-01,86.5
44,1951-09-01,86.4
45,1951-10-01,86.8
46,1951-11-01,86.5
47,1951-12-01,86.8
48,1952-01-01,86.8
49,1952-02-01,87.0
50,1952-03-01,86.5
51,1952-04-01,86.3
52,1952-05-01,86.4
53,1952-06-01,86.4
54,1952-07-01,86.3
55,1952-08-01,85.9
56,1952-09-01,85.9
57,1952-10-01,85.6
58,1952-11-01,85.6
59,1952-12-01,86.4
60,1953-01-01,86.5
61,1953-02-01,86.8
62,1953-03-01,86.8
63,1953-04-01,86.3
64,1953-05-01,85.8
65,1953-06-01,85.8
66,1953-07-01,85.9
67,1953-08-01,85.7
68,1953-09-01,85.4
69,1953-10-01,85.4
70,1953-11-01,85.9
71,1953-12-01,85.8
72,1954-01-01,85.8
73,1954-02-01,86.2
74,1954-03-01,85.6
75,1954-04-01,86.0
76,1954-05-01,85.7
77,1954-06-01,85.3
78,1954-07-01,85.4
79,1954-08-01,85.9
80,1954-09-01,86.0
81,1954-10-01,85.5
82,1954-11-01,85.2
83,1954-12-01,84.8
84,1955-01-01,85.0
85,1955-02-01,84.8
86,1955-03-01,85.0
87,1955-04-01,85.2
88,1955-05-01,85.1
89,1955-06-01,84.8
90,1955-07-01,85.3
91,1955-08-01,85.4
92,1955-09-01,85.6
93,1955-10-01,85.7
94,1955-11-01,85.8
95,1955-12-01,85.9
96,1956-01-01,86.1
97,1956-02-01,85.9
98,1956-03-01,85.8
99,1956-04-01,85.6
100,1956-05-01,85.8
101,1956-06-01,85.7
102,1956-07-01,85.5
103,1956-08-01,85.4
104,1956-09-01,85.2
105,1956-10-01,85.0
106,1956-11-01,85.2
107,1956-12-01,85.0
108,1957-01-01,84.8
109,1957-02-01,85.0
110,1957-03-01,85.2
111,1957-04-01,85.0
112,1957-05-01,84.9
113,1957-06-01,85.2
114,1957-07-01,85.1
115,1957-08-01,84.4
116,1957-09-01,84.6
117,1957-10-01,84.4
118,1957-11-01,84.4
119,1957-12-01,84.5
120,1958-01-01,84.1
121,1958-02-01,84.0
122,1958-03-01,84.0
123,1958-04-01,84.3
124,1958-05-01,84.6
125,1958-06-01,84.3
126,1958-07-01,84.6
127,1958-08-01,84.6
128,1958-09-01,84.7
129,1958-10-01,84.6
130,1958-11-01,84.0
131,1958-12-01,83.8
132,1959-01-01,83.8
133,1959-02-01,83.5
134,1959-03-01,83.8
135,1959-04-01,83.9
136,1959-05-01,83.6
137,1959-06-01,83.5
138,1959-07-01,83.9
139,1959-08-01,83.7
140,1959-09-01,83.9
141,1959-10-01,83.8
142,1959-11-01,83.5
143,1959-12-01,83.9
144,1960-01-01,83.6
145,1960-02-01,83.4
146,1960-03-01,82.8
147,1960-04-01,83.6
148,1960-05-01,83.4
149,1960-06-01,83.3
150,1960-07-01,83.2
151,1960-08-01,83.3
152,1960-09-01,83.5
153,1960-10-01,83.4
154,1960-11-01,83.7
155,1960-12-01,83.4
156,1961-01-01,83.4
157,1961-02-01,82.9
158,1961-03-01,83.1
159,1961-04-01,82.8
160,1961-05-01,83.0
161,1961-06-01,83.1
162,1961-07-01,82.8
163,1961-08-01,82.9
164,1961-09-01,82.6
165,1961-10-01,82.6
166,1961-11-01,82.7
167,1961-12-01,82.5
168,1962-01-01,82.2
169,1962-02-01,82.5
170,1962-03-01,82.5
171,1962-04-01,82.0
172,1962-05-01,82.4
173,1962-06-01,82.1
174,1962-07-01,81.7
175,1962-08-01,82.1
176,1962-09-01,82.0
177,1962-10-01,81.7
178,1962-11-01,81.6
179,1962-12-01,81.4
180,1963-01-01,81.4
181,1963-02-01,81.3
182,1963-03-01,81.4
183,1963-04-01,81.5
184,1963-05-01,81.4
185,1963-06-01,81.2
186,1963-07-01,81.5
187,1963-08-01,81.3
188,1963-09-01,81.4
189,1963-10-01,81.3
190,1963-11-01,81.4
191,1963-12-01,81.0
192,1964-01-01,81.0
193,1964-02-01,81.0
194,1964-03-01,81.0
195,1964-04-01,81.3
196,1964-05-01,81.4
197,1964-06-01,80.9
198,1964-07-01,81.1
199,1964-08-01,80.9
200,1964-09-01,81.1
201,1964-10-01,80.9
202,1964-11-01,80.8
203,1964-12-01,80.6
204,1965-01-01,80.7
205,1965-02-01,80.9
206,1965-03-01,80.7
207,1965-04-01,81.0
208,1965-05-01,81.2
209,1965-06-01,80.5
210,1965-07-01,80.9
211,1965-08-01,80.6
212,1965-09-01,80.3
213,1965-10-01,80.6
214,1965-11-01,80.3
215,1965-12-01,80.5
216,1966-01-01,80.5
217,1966-02-01,80.3
218,1966-03-01,80.4
219,1966-04-01,80.5
220,1966-05-01,80.3
221,1966-06-01,80.5
222,1966-07-01,80.5
223,1966-08-01,80.5
224,1966-09-01,80.2
225,1966-10-01,80.2
226,1966-11-01,80.4
227,1966-12-01,80.5
228,1967-01-01,80.5
229,1967-02-01,80.4
230,1967-03-01,80.2
231,1967-04-01,80.3
232,1967-05-01,80.3
233,1967-06-01,80.6
234,1967-07-01,80.6
235,1967-08-01,80.6
236,1967-09-01,80.3
237,1967-10-01,80.5
238,1967-11-01,80.4
239,1967-12-01,80.4
240,1968-01-01,79.8
241,1968-02-01,80.2
242,1968-03-01,80.0
243,1968-04-01,80.1
244,1968-05-01,80.1
245,1968-06-01,80.5
246,1968-07-01,80.3
247,1968-08-01,80.3
248,1968-09-01,79.9
249,1968-10-01,79.9
250,1968-11-01,79.8
251,1968-12-01,80.0
252,1969-01-01,79.8
253,1969-02-01,80.0
254,1969-03-01,79.9
255,1969-04-01,79.8
256,1969-05-01,79.5
257,1969-06-01,79.7
258,1969-07-01,79.8
259,1969-08-01,79.9
260,1969-09-01,80.1
261,1969-10-01,79.9
262,1969-11-01,79.8
263,1969-12-01,79.7
264,1970-01-01,79.9
265,1970-02-01,80.0
266,1970-03-01,80.0
267,1970-04-01,80.0
268,1970-05-01,79.9
269,1970-06-01,79.6
270,1970-07-01,79.6
271,1970-08-01,79.4
272,1970-09-01,79.5
273,1970-10-01,79.4
274,1970-11-01,79.5
275,1970-12-01,79.6
276,1971-01-01,79.4
277,1971-02-01,79.1
278,1971-03-01,78.9
279,1971-04-01,79.3
280,1971-05-01,79.3
281,1971-06-01,78.8
282,1971-07-01,79.3
283,1971-08-01,79.3
284,1971-09-01,79.0
285,1971-10-01,78.9
286,1971-11-01,79.1
