,Country,Health spending per capita,Life expectancy at birth
0,AUS,4790.513,82.6
1,AUT,5270.235,81.7
2,BEL,4832.265,81.6
3,CAN,4811.79,82.0
4,CZE,2850.406,79.1
5,DNK,5024.522,81.2
6,FIN,4126.719,81.7
7,FRA,4930.776,82.6
8,DEU,5847.676,81.1
9,GRC,2207.064,81.4
10,HUN,1996.449,75.9
11,ISL,4153.873,82.7
12,IRL,4631.116,82.2
13,ITA,3376.315,83.0
14,JPN,4629.559,84.2
15,KOR,2870.253,82.7
16,LUX,4940.672,82.2
17,MEX,1104.972,75.4
18,NLD,5155.043,81.8
19,NZL,3742.228,81.9
20,NOR,6063.613,82.7
21,POL,2047.73,77.9
22,PRT,2758.526,81.5
23,SVK,2187.762,77.3
24,ESP,3224.091,83.4
25,SWE,5264.4,82.5
26,CHE,7146.838,83.6
27,TUR,1185.602,78.1
28,GBR,3942.903,81.3
29,USA,10206.51,78.6
30,EST,2120.49,78.2
31,ISR,2666.404,82.6
32,SVN,2801.233,81.1
33,COL,960.169,74.6
34,LVA,1649.277,74.8
35,LTU,2182.469,75.6
36,RUS,1513.667,72.6
