,Current $millions,Unnamed: 1,Total Funding,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Federal,Private
0,1953,5160.0,2783.0,1015.0,131.0,,1430.0,149.0,58.0,40.0,,,,40.0,2247.0,,2200.0,21.0,26.0,37.0,55.0,,,27.0,28.0,0.5393410852713179,0.43546511627906975
1,1954,5621.0,3102.0,963.0,165.0,,1750.0,165.0,61.0,45.0,,,,45.0,2375.0,,2320.0,24.0,31.0,40.0,60.0,,,29.0,31.0,0.5518590998043053,0.4225226827966554
2,1955,6185.0,3507.0,973.0,319.0,,1960.0,191.0,65.0,50.0,,,,50.0,2522.0,,2460.0,27.0,35.0,42.0,64.0,,,32.0,32.0,0.5670169765561843,0.40776071139854486
3,1956,8501.0,4979.0,1131.0,561.0,,2995.0,221.0,71.0,57.0,,,,57.0,3346.0,,3277.0,32.0,37.0,46.0,74.0,,,36.0,38.0,0.5856958004940596,0.3936007528526056
4,1957,9908.0,6233.0,1297.0,688.0,,3928.0,242.0,79.0,64.0,,,,64.0,3470.0,,3396.0,37.0,37.0,51.0,91.0,,,40.0,51.0,0.6290876059749697,0.35022204279370206
5,1958,10915.0,6974.0,1507.0,657.0,,4436.0,280.0,95.0,72.0,,,,72.0,3707.0,,3630.0,39.0,38.0,56.0,107.0,,,45.0,62.0,0.6389372423270728,0.3396243701328447
6,1959,12490.0,8167.0,1681.0,789.0,,5217.0,356.0,125.0,81.0,,,,81.0,4065.0,,3983.0,40.0,42.0,61.0,117.0,,,50.0,67.0,0.6538831064851881,0.3254603682946357
7,1960,13711.0,8915.0,1801.0,910.0,,5604.0,453.0,148.0,90.0,,,,90.0,4516.0,,4428.0,40.0,48.0,67.0,123.0,,,55.0,68.0,0.6502078623003428,0.3293705783677339
8,1961,14564.0,9484.0,1987.0,1087.0,,5685.0,557.0,169.0,101.0,,,,101.0,4757.0,,4668.0,40.0,49.0,75.0,148.0,,,62.0,86.0,0.6511947267234276,0.3266273001922549
9,1962,15636.0,10138.0,2188.0,1056.0,,6008.0,687.0,200.0,112.0,,,,112.0,5124.0,,5029.0,41.0,54.0,84.0,179.0,,,70.0,109.0,0.6483755436172934,0.32770529547198773
