,Year,Total Income,Wages and Salaries,% of total
2,1969,10334.2,7587.5,0.7342126144258868
3,1970,10739.3,7716.7,0.7185477638207333
4,1971,11259.1,7906,0.7021875638372517
5,1972,12122.2,8508.4,0.7018857963076008
6,1973,13319.1,9462.1,0.7104158689400936
7,1974,14613.5,10272.9,0.702973278133233
8,1975,15457.4,10492.5,0.6788010920335891
9,1976,16767.1,11503.1,0.6860518515426044
10,1977,18581.1,12748.5,0.686100392334146
11,1978,20527.6,14196.6,0.6915859623141527
12,1979,22408.6,15447.1,0.6893380220094072
13,1980,24310.7,16020.8,0.6590020032331442
14,1981,26500.2,17121.1,0.6460743692500434
15,1982,27714.3,17213,0.6210873087178821
16,1983,29110.2,17737.4,0.609319070291513
17,1984,31917.9,19408.8,0.6080851183818484
18,1985,33862.7,20599.2,0.6083153440215932
19,1986,35189,21322.1,0.6059308306573077
20,1987,36909.9,22421,0.6074522011709595
21,1988,39873.3,23995.8,0.6018012053178442
22,1989,42411.9,25240.5,0.5951277825327326
23,1990,45294.9,26553.4,0.5862337702478646
24,1991,45865.3,26755.5,0.5833495038732985
25,1992,48108.8,27972.2,0.5814362445124385
26,1993,49991.1,28832.3,0.5767486612617045
27,1994,52498.1,30619.8,0.5832553940047354
28,1995,55073.1,32115,0.5831340527408118
29,1996,57314.4,33482.7,0.5841935011096687
30,1997,60274.8,35637.3,0.5912470883354238
31,1998,63527.7,37712.6,0.5936402545661184
32,1999,65328.8,39475,0.6042511113016005
33,2000,68637.9,41374.9,0.6027996194522269
34,2001,68493,41445.2,0.6051012512227526
35,2002,68663.6,40918.3,0.5959241869054346
36,2003,70084.9,42128.6,0.6011080846230786
37,2004,72810.9,43939.7,0.6034769519398882
38,2005,75099,44761.7,0.5960358992796175
39,2006,79333.4,46443.8,0.5854255584659174
40,2007,82878.5,47868.5,0.5775744010811007
41,2008,85237.7,47905.8,0.5620259579974589
42,2009,80996.5,45162.1,0.5575808831245794
43,2010,82196.4,46118.9,0.5610817505389532
44,2011,87465.6,48331.6,0.5525783851022573
45,2012,91619.8,50713,0.5535157247669171
46,2013,92402.4,51645.5,0.5589194652952737
47,2014,97046.4,53368.7,0.5499297243380487
48,2015,100162.6,54937.7,0.548485163124759
49,2016,102212.8,55853.1,0.5464393891958736
50,2017,105828.4,57893.6,0.5470516420922928
51,2018,110538.7,59918.4,0.5420581208210338
