,Year,Total Income,Wages and Salaries,% of total
2,1969,791229,512186,0.6473296605660308
3,1970,855525,545441,0.6375512112445574
4,1971,924613,579284,0.6265150933417549
5,1972,1016408,633484,0.6232575894719443
6,1973,1133468,703743,0.6208759312128794
7,1974,1244912,767390,0.6164210803655198
8,1975,1362505,810075,0.5945482768870572
9,1976,1495704,894943,0.5983423190684788
10,1977,1651632,988970,0.598783506253209
11,1978,1855849,1115885,0.6012800610394488
12,1979,2073257,1248272,0.6020826168680486
13,1980,2313160,1366990,0.5909621470196614
14,1981,2592915,1503905,0.5800055150284525
15,1982,2779794,1579008,0.5680305806833168
16,1983,2968676,1668739,0.562115569364929
17,1984,3279488,1835609,0.5597242618359939
18,1985,3510471,1972752,0.5619621982349378
19,1986,3719647,2093721,0.5628816390372527
20,1987,3946593,2246552,0.5692383278437882
21,1988,4267813,2428973,0.5691376355993105
22,1989,4609667,2572279,0.5580183991598525
23,1990,4897821,2729857,0.557361528728796
24,1991,5067291,2801967,0.5529516658901176
25,1992,5409920,2956907,0.5465712986513663
26,1993,5648732,3072485,0.5439247250533394
27,1994,5940128,3231494,0.5440108361301306
28,1995,6286143,3413758,0.54306082441968
29,1996,6673186,3612299,0.5413154975749215
30,1997,7086935,3872714,0.5464582361768522
31,1998,7601594,4177471,0.5495519755461815
32,1999,8001563,4456769,0.556987303605558
33,2000,8650325,4823765,0.5576397418594099
34,2001,9001839,4950126,0.5499016367655543
35,2002,9155663,4992622,0.5453042559561224
36,2003,9480901,5133728,0.541481025906715
37,2004,10028781,5416803,0.5401257640385208
38,2005,10593946,5688398,0.5369479889740801
39,2006,11372589,6051357,0.5321002104270188
40,2007,12002204,6392832,0.5326381721223868
41,2008,12438527,6531099,0.5250701308925084
42,2009,12051307,6241491,0.5179098831354972
43,2010,12541995,6363368,0.5073648968924003
44,2011,13315478,6615753,0.4968468274289515
45,2012,13998383,6918166,0.4942117957481232
46,2013,14175503,7104786,0.5012016857532322
47,2014,14982715,7467705,0.498421347532807
48,2015,15709242,7849960,0.4997032956777927
49,2016,16111636,8077057,0.5013182398112768
50,2017,16870106,8455046,0.5011851140710082
51,2018,17813035,8879507,0.49848366659583837
