,observation_date,IPG3254S
0,2001-01-01,94.0278
1,2001-02-01,96.08
2,2001-03-01,96.4746
3,2001-04-01,96.1618
4,2001-05-01,96.9879
5,2001-06-01,96.2609
6,2001-07-01,97.3538
7,2001-08-01,99.8246
8,2001-09-01,100.8713
9,2001-10-01,103.7303
10,2001-11-01,103.9987
11,2001-12-01,105.9258
12,2002-01-01,109.4683
13,2002-02-01,105.5352
14,2002-03-01,104.6262
15,2002-04-01,101.9558
16,2002-05-01,103.4875
17,2002-06-01,107.1633
18,2002-07-01,108.2078
19,2002-08-01,106.2198
20,2002-09-01,106.7626
21,2002-10-01,106.0094
22,2002-11-01,106.2791
23,2002-12-01,106.0894
24,2003-01-01,107.4928
25,2003-02-01,109.5636
26,2003-03-01,109.6652
27,2003-04-01,109.5451
28,2003-05-01,107.7143
29,2003-06-01,111.2583
30,2003-07-01,110.7833
31,2003-08-01,111.711
32,2003-09-01,110.252
33,2003-10-01,109.36
34,2003-11-01,110.3547
35,2003-12-01,109.1495
36,2004-01-01,109.5741
37,2004-02-01,110.125
38,2004-03-01,110.3982
39,2004-04-01,110.3467
40,2004-05-01,109.7619
41,2004-06-01,108.0371
42,2004-07-01,109.2165
43,2004-08-01,110.003
44,2004-09-01,110.4164
45,2004-10-01,111.4935
46,2004-11-01,111.4072
47,2004-12-01,111.7813
48,2005-01-01,111.8405
49,2005-02-01,113.4719
50,2005-03-01,113.7209
51,2005-04-01,113.8775
52,2005-05-01,117.2507
53,2005-06-01,117.8852
54,2005-07-01,117.2393
55,2005-08-01,115.916
56,2005-09-01,115.5744
57,2005-10-01,112.2975
58,2005-11-01,112.0484
59,2005-12-01,113.7485
60,2006-01-01,114.0628
61,2006-02-01,114.3173
62,2006-03-01,116.6011
63,2006-04-01,118.146
64,2006-05-01,118.8121
65,2006-06-01,120.0663
66,2006-07-01,119.1191
67,2006-08-01,120.5262
68,2006-09-01,121.4668
69,2006-10-01,121.2836
70,2006-11-01,121.9378
71,2006-12-01,125.2314
72,2007-01-01,122.7815
73,2007-02-01,122.2284
74,2007-03-01,122.0198
75,2007-04-01,121.9587
76,2007-05-01,120.2275
77,2007-06-01,119.1958
78,2007-07-01,119.8694
79,2007-08-01,119.5533
80,2007-09-01,118.9816
81,2007-10-01,120.4432
82,2007-11-01,120.3145
83,2007-12-01,121.165
84,2008-01-01,120.7602
85,2008-02-01,120.4227
86,2008-03-01,118.7379
87,2008-04-01,118.859
88,2008-05-01,118.4273
89,2008-06-01,118.2264
90,2008-07-01,117.911
91,2008-08-01,116.9058
92,2008-09-01,117.4149
93,2008-10-01,115.8914
94,2008-11-01,117.4079
95,2008-12-01,114.3279
96,2009-01-01,114.4686
97,2009-02-01,113.0641
98,2009-03-01,113.1421
99,2009-04-01,110.5881
100,2009-05-01,109.4342
101,2009-06-01,111.0692
102,2009-07-01,110.2673
103,2009-08-01,112.4313
104,2009-09-01,109.7598
105,2009-10-01,108.8284
106,2009-11-01,109.9565
107,2009-12-01,108.0802
108,2010-01-01,107.0739
109,2010-02-01,103.9261
110,2010-03-01,104.2288
111,2010-04-01,104.9113
112,2010-05-01,104.2299
113,2010-06-01,103.2387
114,2010-07-01,102.1405
115,2010-08-01,102.6382
116,2010-09-01,101.9497
117,2010-10-01,101.8803
118,2010-11-01,102.0832
119,2010-12-01,101.4808
120,2011-01-01,102.3757
121,2011-02-01,101.9071
122,2011-03-01,101.9234
123,2011-04-01,102.0737
124,2011-05-01,102.9927
125,2011-06-01,103.205
126,2011-07-01,103.6903
127,2011-08-01,104.658
128,2011-09-01,103.6041
129,2011-10-01,105.3792
130,2011-11-01,103.8803
131,2011-12-01,105.3091
132,2012-01-01,103.721
133,2012-02-01,103.8658
134,2012-03-01,103.3582
135,2012-04-01,103.3956
136,2012-05-01,101.5549
137,2012-06-01,99.8292
138,2012-07-01,99.2267
139,2012-08-01,98.1874
140,2012-09-01,97.4413
141,2012-10-01,96.608
142,2012-11-01,95.5154
143,2012-12-01,97.2965
144,2013-01-01,96.2863
145,2013-02-01,94.618
146,2013-03-01,93.9253
147,2013-04-01,92.7157
148,2013-05-01,92.5557
149,2013-06-01,91.8708
150,2013-07-01,91.6092
151,2013-08-01,90.8413
152,2013-09-01,90.9115
153,2013-10-01,89.8288
154,2013-11-01,89.2014
155,2013-12-01,87.9819
156,2014-01-01,88.0243
157,2014-02-01,88.491
158,2014-03-01,89.4882
159,2014-04-01,89.3363
