,World rank,Company,Country,Region,Industry,R&D 2018/19 (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),Op.profits (€million),Op.profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€million),Market cap one-year growth (%)
13,14,NOVARTIS,Switzerland,RoW,Pharmaceuticals & Biotechnology,7998.249196,4.162875341219285,46433.164092,6.045676672982947,17.22529436105782,1548.470826,4.540094339622636,3.334838054395666,7134.494178,-5.330861049947844,15.365082947748562,125161,2.930993363323098,181838.115717,-3.1570368865016074
12,13,TOYOTA MOTOR,Japan,Japan,Automobiles & Parts,8264.748403,-1.447096418196392,238184.257056,2.880139934317816,3.469897005433427,29463.158243,3.8952879460940837,12.36990160775943,19444.735507,2.8202871668593588,8.163736658056417,370870,0.4730117792395072,178191.479276,12.081513828295476
11,12,MERCK US,US,US,Pharmaceuticals & Biotechnology,8455.890884,-4.732854472104686,36937.972428,5.413488858980098,22.892136000378304,2283.84163,38.5063559322034,6.18291010545231,9743.226472,19.417683579533286,26.377263914503242,69000,0,159315.928654,4.735623812254142
10,11,FACEBOOK,US,US,Software & Computer Services,8972.047826,32.48645860201187,48766.787356,37.352716896661974,18.397865253053475,12152.83223,106.66864696272094,24.920305168523228,21758.067506,23.31336930158887,44.61656936136681,35587,41.75263891655048,370134.692103,3.9688943955548783
9,10,DAIMLER,Germany,EU,Automobiles & Parts,9041.0,4.36338450883067,167362,1.9542624608599235,5.402062594854268,7534,11.714116251482798,4.501619244511897,10873,-23.8425439518106,6.496695785184212,298683,3.2358522195070627,59600.643193,-9.055293088934102
8,9,JOHNSON & JOHNSON,US,US,Pharmaceuticals & Biotechnology,9410.47555,2.093992798938782,71249.745322,6.711576193590574,13.20773219254483,3205.23854,11.9243671851174,4.498596486927102,16675.100666,0.5847645137498692,23.403733712506586,135100,0.8208955223880654,315580.992246,1.7055201343799675
7,8,ROCHE,Switzerland,RoW,Pharmaceuticals & Biotechnology,9797.938472,6.302925331705822,50418.539912,6.65490909853379,19.433205501589732,3585.86632,15.218010820871864,7.1121978666156025,13099.099601,19.42265706867179,25.980719838105255,94442,0.7553289094672122,150048.594166,-1.1088283155663459
6,7,INTEL,US,US,Technology Hardware & Equipment,11827.941566,3.3974652618720347,61875.950976,12.88539060881757,19.115571364046975,13258.508522,28.892851078281545,21.427563233965675,20300.426328,26.367293682722636,32.80826558265583,107400,4.576436222005853,195031.107003,35.50907691230489
5,6,APPLE,US,US,Technology Hardware & Equipment,12433.181432,22.925481391935044,231960.58039,15.861957650261305,5.360040663416103,11627.068306,6.923138703718568,5.012519060976298,61919.619076,15.574465310380802,26.694026619477025,132000,7.317073170731714,960205.692796,29.788627535423196
4,5,HUAWEI INVESTEMENT & HOLDING CO,China,China,Technology Hardware & Equipment,12739.640882,12.93835864387618,91911.633025,19.479275903248606,13.86074913774496,3890.303284,75.76001844655025,4.232656037067512,9339.862964,29.978362659052472,10.161785463500092,188000,4.444444444444451, , 
3,4,VOLKSWAGEN,Germany,EU,Automobiles & Parts,13640.0,3.844689760182729,235849,2.7440644739708198,5.783361388006733,13729,5.186944529574022,5.821097397063375,13982,4.017259336408263,5.928369422808662,664500,3.4563288183091956,40810.92273,6.733556865525725
2,3,MICROSOFT,US,US,Software & Computer Services,14738.857112,14.600027162841233,109906.494166,14.029539688292857,13.410360528595152,12161.56585,19.712861072902356,11.065375110256431,37496.050746,22.62717431664334,34.11631954101539,144000,9.92366412213741,752288.581526,49.5703623077306
1,2,SAMSUNG ELECTRONICS,South Korea,RoW,Electronic & Electrical Equipment,14831.33219,9.83145373730483,190822.524466,1.7514483623184196,7.772317356928473,23935.397172,-30.15135882611082,12.543276659283856,46096.064364,9.770952161025836,24.156511131479768,309630,-3.4430927648586906,243461.32637,3.484499927492868
0,1,ALPHABET,US,US,Software & Computer Services,18270.73304,30.293971101145978,119492.515478,23.421586757475964,15.290274011650428,21955.447318,90.67809466019415,18.37391005635182,27416.579904,8.69053389654455,22.944181729145804,98771,23.29422044688554,321574.093572,29.327992301731243
