,Year,Annual
0,1990,100.0
1,1991,98.22053675612602
2,1992,97.67600155581485
3,1993,98.27887981330221
4,1994,100.77790742901595
5,1995,103.17969661610267
6,1996,104.72578763127187
7,1997,106.83586153247764
8,1998,108.40140023337221
9,1999,109.73356670556203
10,2000,110.45313107740179
11,2001,108.65422014780242
12,2002,105.23142746013224
13,2003,104.44379618825359
14,2004,104.2395954881369
15,2005,104.2493193309996
16,2006,104.5215869311552
17,2007,104.25904317386231
18,2008,102.9171528588098
19,2009,97.30649552703228
20,2010,96.35355892648774
21,2011,97.34539089848307
22,2012,99.13457798521975
23,2013,100.11668611435238
24,2014,100.79735511474134
25,2015,101.65305328665889
26,2016,102.6157137300661
27,2017,102.9463243873979
28,2018,104.06456631660832
29,2019,104.93971217425126
30,2020,
