,County_x,Census Tract,Per Capita Income (In 2015 Inflation Adjusted Dollars),State,County_y,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
0,35,101101,12081,Ohio,"Cuyahoga County, OH",101101,70.5,56.9-75.1,2.5371
1,35,101102,34094,Ohio,"Cuyahoga County, OH",101102,75.5,75.2-77.5,2.0475
2,35,101200,16663,Ohio,"Cuyahoga County, OH",101200,72.2,56.9-75.1,1.6864
3,35,101300,19636,Ohio,"Cuyahoga County, OH",101300,70.0,56.9-75.1,1.7492
4,35,101400,14137,Ohio,"Cuyahoga County, OH",101400,70.7,56.9-75.1,2.3846
5,35,101501,12777,Ohio,"Cuyahoga County, OH",101501,71.2,56.9-75.1,2.82
6,35,101603,11032,Ohio,"Cuyahoga County, OH",101603,70.5,56.9-75.1,2.1695
7,35,101700,15009,Ohio,"Cuyahoga County, OH",101700,71.6,56.9-75.1,2.8977
8,35,101800,11875,Ohio,"Cuyahoga County, OH",101800,66.7,56.9-75.1,1.5891
9,35,101901,20148,Ohio,"Cuyahoga County, OH",101901,76.2,75.2-77.5,1.9846
10,35,102101,15104,Ohio,"Cuyahoga County, OH",102101,75.0,56.9-75.1,1.6609
11,35,102102,15207,Ohio,"Cuyahoga County, OH",102102,73.0,56.9-75.1,1.7612
12,35,102200,20512,Ohio,"Cuyahoga County, OH",102200,72.7,56.9-75.1,1.6437
13,35,102401,12648,Ohio,"Cuyahoga County, OH",102401,73.2,56.9-75.1,1.9502
14,35,102402,10795,Ohio,"Cuyahoga County, OH",102402,73.1,56.9-75.1,1.8546
15,35,102700,10445,Ohio,"Cuyahoga County, OH",102700,71.3,56.9-75.1,1.8925
16,35,102800,8875,Ohio,"Cuyahoga County, OH",102800,73.0,56.9-75.1,3.2704
17,35,102900,12964,Ohio,"Cuyahoga County, OH",102900,74.3,56.9-75.1,2.7987
18,35,103400,19707,Ohio,"Cuyahoga County, OH",103400,76.2,75.2-77.5,1.6972
19,35,103500,22946,Ohio,"Cuyahoga County, OH",103500,75.1,56.9-75.1,2.3379
20,35,103602,32928,Ohio,"Cuyahoga County, OH",103602,71.2,56.9-75.1,1.8115
21,35,103800,14928,Ohio,"Cuyahoga County, OH",103800,72.1,56.9-75.1,2.5416
22,35,103900,12564,Ohio,"Cuyahoga County, OH",103900,69.5,56.9-75.1,1.7853
23,35,104400,22107,Ohio,"Cuyahoga County, OH",104400,69.4,56.9-75.1,2.576
24,35,104600,14588,Ohio,"Cuyahoga County, OH",104600,68.7,56.9-75.1,3.1963
25,35,104800,14678,Ohio,"Cuyahoga County, OH",104800,71.7,56.9-75.1,1.4374
26,35,104900,13247,Ohio,"Cuyahoga County, OH",104900,69.9,56.9-75.1,2.1572
27,35,105100,13629,Ohio,"Cuyahoga County, OH",105100,69.4,56.9-75.1,1.6611
28,35,105300,10250,Ohio,"Cuyahoga County, OH",105300,71.4,56.9-75.1,1.9528
29,35,105400,15479,Ohio,"Cuyahoga County, OH",105400,72.2,56.9-75.1,2.0213
30,35,105500,11985,Ohio,"Cuyahoga County, OH",105500,75.0,56.9-75.1,1.8159
31,35,105602,11628,Ohio,"Cuyahoga County, OH",105602,74.7,56.9-75.1,1.2989
32,35,105700,19653,Ohio,"Cuyahoga County, OH",105700,73.4,56.9-75.1,1.4535
33,35,105900,20816,Ohio,"Cuyahoga County, OH",105900,74.7,56.9-75.1,1.3994
34,35,106100,22806,Ohio,"Cuyahoga County, OH",106100,78.5,77.6-79.5,1.872
35,35,106200,24422,Ohio,"Cuyahoga County, OH",106200,76.1,75.2-77.5,1.3193
36,35,106300,16229,Ohio,"Cuyahoga County, OH",106300,74.2,56.9-75.1,1.4266
37,35,106400,21041,Ohio,"Cuyahoga County, OH",106400,72.4,56.9-75.1,2.3425
38,35,106500,23830,Ohio,"Cuyahoga County, OH",106500,75.4,75.2-77.5,2.2271
39,35,106600,17436,Ohio,"Cuyahoga County, OH",106600,75.5,75.2-77.5,1.138
40,35,106800,12635,Ohio,"Cuyahoga County, OH",106800,73.8,56.9-75.1,2.3794
41,35,106900,26021,Ohio,"Cuyahoga County, OH",106900,75.7,75.2-77.5,1.1951
42,35,107000,33189,Ohio,"Cuyahoga County, OH",107000,76.8,75.2-77.5,2.1172
43,35,107802,19536,Ohio,"Cuyahoga County, OH",107802,77.3,75.2-77.5,1.2941
44,35,108201,40245,Ohio,"Cuyahoga County, OH",108201,79.0,77.6-79.5,1.4005
45,35,108301,14893,Ohio,"Cuyahoga County, OH",108301,74.1,56.9-75.1,1.5896
46,35,108400,13618,Ohio,"Cuyahoga County, OH",108400,76.6,75.2-77.5,3.1421
