,Unnamed: 0,Annualized Rate Pop,Annualized Rate GDP Per Capita,Unnamed: 3,MSA,Annualized Rate Pop.1,Annualized Rate GDP Per Capita.1,Unnamed: 7,Unnamed: 8
0,"Abilene, TX (Metropolitan Statistical Area)",0.004576052332254887,0.021630222665628418,,"Midland, TX (Metropolitan Statistical Area)",0.02907285823972061,0.10768654148979917,,0.13785710907282056
1,"Akron, OH (Metropolitan Statistical Area)",0.0007817341297686742,0.008008078295663967,,"Wheeling, WV-OH (Metropolitan Statistical Area)",-0.006804232954090272,0.08707490198755652,,
2,"Albany, GA (Metropolitan Statistical Area)",0.0003060785905184549,-0.003524799472963469,,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",0.010311298030597715,0.06739941051838527,,
3,"Albany-Lebanon, OR (Metropolitan Statistical Area)",0.013558990885777833,-0.006639927323153216,,"Greeley, CO (Metropolitan Statistical Area) *",0.02688638331465354,0.05919164077407513,,
4,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",0.005242931034062703,0.011103630235077988,,"Rocky Mount, NC (Metropolitan Statistical Area)",-0.005342753529521516,0.05220131234492831,,
5,"Albuquerque, NM (Metropolitan Statistical Area) *",0.020369698664882474,0.004838723914202703,,"Laredo, TX (Metropolitan Statistical Area)",0.011701081982416373,0.04528348053992981,,
6,"Alexandria, LA (Metropolitan Statistical Area)",0.006701564912485303,0.01222252766793197,,"Williamsport, PA (Metropolitan Statistical Area)",-0.0027909321692307643,0.044402763817347646,,
7,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",0.010419544779235235,-0.025989627770958257,,"San Angelo, TX (Metropolitan Statistical Area)",0.008140073102215428,0.04010797148123202,,
8,"Altoona, PA (Metropolitan Statistical Area)",-0.0012411831056342582,0.0140567135010361,,"Madera, CA (Metropolitan Statistical Area)",0.005414273834828398,0.03861684760088302,,
9,"Amarillo, TX (Metropolitan Statistical Area)",0.010331646748849233,0.009237501801368841,,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",0.010690578759106728,0.03839212324142127,,
10,"Ames, IA (Metropolitan Statistical Area)",0.00946000117043222,0.0110743495319936,,"Canton-Massillon, OH (Metropolitan Statistical Area)",-0.001728892690420758,0.033187173394206626,,
11,"Anchorage, AK (Metropolitan Statistical Area)",0.01805060669780345,0.008576579410562113,,"Bend, OR (Metropolitan Statistical Area)",0.024867592816564477,0.032957441540445,,
12,"Ann Arbor, MI (Metropolitan Statistical Area)",0.00558836869606516,-0.009234764905380888,,"Kokomo, IN (Metropolitan Statistical Area)",-0.0005887897187540903,0.03276934546760124,,
13,"Anniston-Oxford, AL (Metropolitan Statistical Area)",0.0070016329471502825,0.0243755917952011,,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0.005048069068989136,0.030814390478787423,,
14,"Appleton, WI (Metropolitan Statistical Area)",0.010497501274685295,-0.0013705068428757627,,"Auburn-Opelika, AL (Metropolitan Statistical Area)",0.019197388795162862,0.030050010179825337,,
15,"Asheville, NC (Metropolitan Statistical Area)",0.014122589559420806,0.0005979864085443598,,"Napa, CA (Metropolitan Statistical Area)",0.0023641601171624504,0.028665961428847364,,
16,"Athens-Clarke County, GA (Metropolitan Statistical Area)",0.015135916182194231,0.0012501284857819872,,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",0.01674553198307116,0.02840367391960208,,
17,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",0.020887866102302866,-0.011537253200142428,,"Salisbury, MD-DE (Metropolitan Statistical Area)",0.01126851937547535,0.02821791198062873,,
