,County,AGR 01 to 10 Pop,AGR 10 to 18 Pop,GeoName,AGR 01 to 10 GDP,AGR 10 to 18 GDP,Unnamed: 6,Unnamed: 7,AGR 01 to 10 Pop.1,AGR 01 to 10 GDP.1,Unnamed: 10,Unnamed: 11,AGR 10 to 18 Pop.1,AGR 10 to 18 GDP.1,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Annualized Population Growth,Annualized GDP Per Capita Growth
0,"Ada, ID",0.025387815655846024,0.022494335290035083,"Ada, ID",0.006158167836369133,0.011586664241405087,,"Ada, ID",0.025387815655846024,0.006158167836369133,,"Ada, ID",0.022494335290035083,0.011586664241405087,,0.08618476385603474,,,,,,,,,,"Wayne, MI",-0.004282426007043982,0.019014895030781576
1,"Adams, CO*",0.01843197770968974,0.01802586814753737,"Adams, CO*",0.009803598619243514,0.015913380708509006,,"Adams, CO*",0.01843197770968974,0.009803598619243514,,"Adams, CO*",0.01802586814753737,0.015913380708509006,,,,,,,,,,,,"Cuyahoga, OH",-0.0033885501818671226,0.019173888697802566
2,"Aiken, SC",0.012401412705627779,0.006745349965341152,"Aiken, SC",-0.0009344641192594594,-0.009871806230475677,,"Aiken, SC",0.012401412705627779,-0.0009344641192594594,,"Aiken, SC",0.006745349965341152,-0.009871806230475677,,,,,,,,,,,,"Allegheny, PA",-0.0005646496971465353,0.01546464931845204
3,"Alachua, FL",0.012349042932364496,0.010857511990242319,"Alachua, FL",0.007509277705106232,0.0037453873190373965,,"Alachua, FL",0.012349042932364496,0.007509277705106232,,"Alachua, FL",0.010857511990242319,0.0037453873190373965,,,,,,,,,,,,"Queens, NY",0.002449040970490257,0.019625912975503867
4,"Alamance, NC",0.014238442690888142,0.011872594351292065,"Alamance, NC",-0.0031336721368903087,-0.005418861186032298,,"Alamance, NC",0.014238442690888142,-0.0031336721368903087,,"Alamance, NC",0.011872594351292065,-0.005418861186032298,,,,,,,,,,,,"New York, NY",0.0031085159776147453,0.019106871279392035
5,"Alameda, CA",0.003250999294892143,0.012167752996136594,"Alameda, CA",0.012384704536197999,0.030875727064416436,,"Alameda, CA",0.003250999294892143,0.012384704536197999,,"Alameda, CA",0.012167752996136594,0.030875727064416436,,,,,,,,,,,,"Los Angeles, CA",0.003557909379189317,0.02299859459517961
6,"Albany, NY",0.0029088131143915064,0.0012438398070167,"Albany, NY",0.00814848342271901,0.009214312652485512,,"Albany, NY",0.0029088131143915064,0.00814848342271901,,"Albany, NY",0.0012438398070167,0.009214312652485512,,,,,,,,,,,,"Kings, NY",0.0035879148424986518,0.025473220214376147
7,"Albemarle + Charlottesville, VA*",0.013502017488574714,0.011912537026984804,"Albemarle + Charlottesville, VA*",0.016485292638281024,0.008916324739145276,,"Albemarle + Charlottesville, VA*",0.013502017488574714,0.016485292638281024,,"Albemarle + Charlottesville, VA*",0.011912537026984804,0.008916324739145276,,,,,,,,,,,,"Philadelphia, PA",0.004496200779513737,0.01959421345836243
8,"Alexandria (Independent City), VA",0.008058531245595857,0.016581805082407364,"Alexandria (Independent City), VA",0.01910727411990698,-0.025510125887123536,,"Alexandria (Independent City), VA",0.008058531245595857,0.01910727411990698,,"Alexandria (Independent City), VA",0.016581805082407364,-0.025510125887123536,,,,,,,,,,,,"Oakland, MI",0.005711148051193993,0.027379106093416317
9,"Allegheny, PA",-0.00430379883132781,-0.0005646496971465353,"Allegheny, PA",0.01263978199747906,0.01546464931845204,,"Allegheny, PA",-0.00430379883132781,0.01263978199747906,,"Allegheny, PA",-0.0005646496971465353,0.01546464931845204,,,,,,,,,,,,"San Mateo, CA",0.008401374682310392,0.05972309521725583
