,GeoName,2018,Share
70832,"Adams, OH",738745,0.1356562851081301
70866,"Allen, OH",7123070,1.3080145581562899
70900,"Ashland, OH",1457993,0.26773232183454093
70934,"Ashtabula, OH",2485403,0.45639637219419676
70968,"Athens, OH",1184405,0.2174931571293137
71002,"Auglaize, OH",2085120,0.38289211189878003
71036,"Belmont, OH",5976220,1.097417653167073
71070,"Brown, OH",647388,0.11888033232520306
71104,"Butler, OH",16854057,3.0949228240064923
71138,"Carroll, OH",3105062,0.5701848079518923
71172,"Champaign, OH",934505,0.17160383720359954
71206,"Clark, OH",3929147,0.7215121397285317
71240,"Clermont, OH",7045184,1.2937122949640762
71274,"Clinton, OH",1772919,0.3255624137390046
71308,"Columbiana, OH",2621182,0.4813295693538348
71342,"Coshocton, OH",1229975,0.2258612095863557
71376,"Crawford, OH",1110873,0.2039904221442092
71410,"Cuyahoga, OH",80044550,14.698639308762802
71454,"Darke, OH",1695256,0.311301100200026
71488,"Defiance, OH",1570279,0.28835148220740503
71522,"Delaware, OH",9180989,1.685911730514056
71556,"Erie, OH",4606536,0.8459015776443364
71590,"Fairfield, OH",3282517,0.6027709994981812
71624,"Fayette, OH",2201089,0.40418758425758416
71658,"Franklin, OH",74155694,13.617264370865797
71702,"Fulton, OH",1826787,0.3354542340101465
71736,"Gallia, OH",2042916,0.3751421604856354
71770,"Geauga, OH",3463334,0.6359745575654396
71804,"Greene, OH",5380980,0.9881132962539794
71838,"Guernsey, OH",2460501,0.45182359970604097
71872,"Hamilton, OH",62184585,11.419000862396025
71916,"Hancock, OH",5003562,0.9188077526456433
71950,"Hardin, OH",866907,0.15919076698215723
71984,"Harrison, OH",1955545,0.3590981598004431
72018,"Henry, OH",1016565,0.18667257507116297
72052,"Highland, OH",877338,0.16110621914760392
72086,"Hocking, OH",477253,0.08763831773712231
72120,"Holmes, OH",2104885,0.38652157331667414
72154,"Huron, OH",1998194,0.36692982688932574
72188,"Jackson, OH",794319,0.14586137940805663
72222,"Jefferson, OH",3627538,0.6661274582820541
72256,"Knox, OH",1721648,0.3161474824788553
72290,"Lake, OH",9645675,1.771242360842189
72324,"Lawrence, OH",1439767,0.26438546811318814
72358,"Licking, OH",4953777,0.9096656966532396
72392,"Logan, OH",1768939,0.3248315634256619
72426,"Lorain, OH",8820168,1.6196539061646518
72460,"Lucas, OH",22379712,4.109602896411943
72494,"Madison, OH",1441441,0.26469286595854885
72528,"Mahoning, OH",7624652,1.4001204279721344
72562,"Marion, OH",2408148,0.44220997999387246
72596,"Medina, OH",5838979,1.0722159878772572
72630,"Meigs, OH",296363,0.05442135462642829
72664,"Mercer, OH",1986299,0.3647455393322374
72698,"Miami, OH",3705735,0.6804868306319184
72732,"Monroe, OH",3349527,0.6150760948492101
72766,"Montgomery, OH",22860977,4.197977940645832
72800,"Morgan, OH",264310,0.04853543877377156
72834,"Morrow, OH",465217,0.0854281382468226
72868,"Muskingum, OH",3322715,0.6101525876629427
72902,"Noble, OH",1156816,0.21242696886428558
72936,"Ottawa, OH",1650051,0.30300007296016246
72970,"Paulding, OH",515865,0.09472866756093853
73004,"Perry, OH",618493,0.11357432232418861
73038,"Pickaway, OH",1396836,0.2565020171578827
73072,"Pike, OH",1626758,0.29872276231978767
73106,"Portage, OH",4474623,0.8216782968945935
73140,"Preble, OH",1018192,0.1869713422721199
73174,"Putnam, OH",1186722,0.21791862953534763
73208,"Richland, OH",3839630,0.7050740674924766
73242,"Ross, OH",2023079,0.3714994776550376
73276,"Sandusky, OH",2439283,0.44792732283455716
73310,"Scioto, OH",2531921,0.46493850658517066
73344,"Seneca, OH",1515472,0.2782872326789192
73378,"Shelby, OH",2778685,0.5102519605353465
73412,"Stark, OH",14040081,2.578190351308287
73446,"Summit, OH",25157577,4.619704279747053
73480,"Trumbull, OH",6651426,1.2214062251949311
73514,"Tuscarawas, OH",3089420,0.5673124560420163
73548,"Union, OH",3413302,0.626787144782233
73582,"Van Wert, OH",1186733,0.2179206494733996
73616,"Vinton, OH",243917,0.04479065725618417
73650,"Warren, OH",9028098,1.6578362442685084
73684,"Washington, OH",3062432,0.5623566298469176
73718,"Wayne, OH",4602817,0.8452186549520445
73752,"Williams, OH",1468943,0.26974307834989336
73786,"Wood, OH",5534165,1.0162427699347338
73820,"Wyandot, OH",906403,0.16644344637305764
